"Story","Title","Result","Date","Stability","Duration (s)"
"Employee data","CH ED01 employee on other","SUCCESS","2024-05-09T22:44:57.7678869+08:00[Asia/Manila]","0.0","939.38"
"Employee data","CH ED03 HR CA","SUCCESS","2024-05-09T23:04:23.3046892+08:00[Asia/Manila]","0.0","4093.18"
"Employee data","CH ED03 HR pay roll","SUCCESS","2024-05-10T00:12:38.1358885+08:00[Asia/Manila]","0.0","2271.15"
"Employee data","CH ED04 HRIS","SUCCESS","2024-05-10T00:53:17.6072657+08:00[Asia/Manila]","0.0","4295.79"
"Employee data","CH ED05 HRM","SUCCESS","2024-05-10T02:04:54.9857557+08:00[Asia/Manila]","0.0","2112.97"
"Employee data","CH ED08 LM","SUCCESS","2024-05-10T02:40:09.6994721+08:00[Asia/Manila]","0.0","1550.38"
"Employee data","CH ED11 talent manager","SUCCESS","2024-05-10T03:06:01.7714657+08:00[Asia/Manila]","0.0","1340.49"
"Employee data","RES ED02 employee on themselves","SUCCESS","2024-05-10T03:28:24.41231+08:00[Asia/Manila]","0.0","3447.87"
"Employee data","RES ED03 line manager","SUCCESS","2024-05-10T04:25:53.8721396+08:00[Asia/Manila]","0.0","1822.68"
"Employee data","RES ED05 HRIS","SUCCESS","2024-05-10T04:59:05.21704+08:00[Asia/Manila]","0.0","4133.2"
"Employee data","RES ED15 HRAX","SUCCESS","2024-05-10T06:14:23.8700845+08:00[Asia/Manila]","0.0","2620.21"
